Square Feet,Price,Price/Sqft,Zip,City,State,Street Address,Bedrooms,Bathrooms,URL,Image,Price Category
912.0,439900,482.3464912280702,98027,Issaquah,WA,4707 W Lake Sammamish Pkwy SE Unit D205,2.0,2.0,https://www.redfin.com/WA/Issaquah/4707-W-Lake-Sammamish-Pkwy-SE-98027/unit-D205/home/72397,https://ssl.cdn-redfin.com/photo/1/islphoto/334/genIslnoResize.2309334_0.jpg,Low
940.0,375000,398.93617021276594,98029,Issaquah,WA,4266 221st Ct SE 1090,1.0,1.0,https://www.redfin.com/WA/Issaquah/4266-221st-Ct-SE-98029/unit-1090/home/29149,https://ssl.cdn-redfin.com/photo/1/islphoto/912/genIslnoResize.2306912_3.jpg,Low
1519.0,1029000,677.4193548387096,98029,Issaquah,WA,560 NE Daisy Walk,3.0,3.0,https://www.redfin.com/WA/Issaquah/560-NE-Daisy-Walk-98029/home/172724744,https://ssl.cdn-redfin.com/photo/1/islphoto/891/genIslnoResize.2306891_0.jpg,Medium-High
1093.0,578000,528.8197621225984,98027,Issaquah,WA,18501 SE Newport Way Unit H135,3.0,3.0,https://www.redfin.com/WA/Issaquah/18501-SE-Newport-Way-98027/unit-H135/home/70753,https://ssl.cdn-redfin.com/photo/1/islphoto/863/genIslnoResize.2308863_3.jpg,Medium-low
783.0,520000,664.1123882503193,98029,Issaquah,WA,1880 25th Ave NE Unit N209,1.0,1.0,https://www.redfin.com/WA/Issaquah/1880-25th-Ave-NE-98029/unit-N-209/home/40457610,https://ssl.cdn-redfin.com/system_files/media/1006092_JPG/genDesktopMapHomeCardUrl/item_69.jpg,Medium-low
1069.0,460000,430.3086997193639,98029,Issaquah,WA,22540 SE 37th Ter Unit 1405,2.0,2.0,https://www.redfin.com/WA/Issaquah/22540-SE-37th-Ter-98029/unit-1405/home/38985,https://ssl.cdn-redfin.com/photo/1/islphoto/874/genIslnoResize.2306874_0.jpg,Low
2180.0,1495000,685.7798165137615,98027,Issaquah,WA,475 NE Alder St,4.0,4.0,https://www.redfin.com/WA/Issaquah/475-NE-Alder-St-98027/home/420648,https://ssl.cdn-redfin.com/photo/1/islphoto/892/genIslnoResize.2306892_0.jpg,High
2016.0,1275000,632.4404761904761,98027,Issaquah,WA,1062 Sunrise Pl SW,3.0,3.0,https://www.redfin.com/WA/Issaquah/1062-Sunrise-Pl-SW-98027/home/179855894,https://ssl.cdn-redfin.com/system_files/media/983093_JPG/genDesktopMapHomeCardUrl/item_2.jpg,High
2670.0,1068000,400.0,98027,Issaquah,WA,26919 SE 146th St,3.0,3.0,https://www.redfin.com/WA/Issaquah/26919-SE-146th-St-98027/home/424868,https://ssl.cdn-redfin.com/photo/1/islphoto/077/genIslnoResize.2306077_1.jpg,Medium-High
1797.0,630000,350.58430717863104,98029,Issaquah,WA,4535 Providence Point Pl SE 301,2.0,2.0,https://www.redfin.com/WA/Issaquah/4535-Providence-Point-Pl-SE-98029/unit-301/home/22809,https://ssl.cdn-redfin.com/photo/1/islphoto/876/genIslnoResize.2305876_0.jpg,Medium-low
