sqft,price,price/sqft,zip,city,state,street_address,bedrooms,bathrooms,url,img
2350.0,834681,355.18340425531915,98092,Auburn,WA,12441 SE 305th Pl,4,4,https://www.redfin.com/WA/Auburn/12441-SE-305th-Pl-98092/home/192385579,https://ssl.cdn-redfin.com/photo/595/islphoto/AEC/genIslnoResize.6F3846B05AEC_1.jpg
805.0,254998,316.76770186335403,98030,Kent,WA,26339 116th Ave SE Unit I202,2,2,https://www.redfin.com/WA/Kent/26339-116th-Ave-SE-98030/unit-I202/home/2082899,https://ssl.cdn-redfin.com/photo/1/islphoto/934/genIslnoResize.2286934_0.jpg
2010.0,1795000,893.0348258706467,98042,Kent,WA,14416 SE 270th Pl,3,3,https://www.redfin.com/WA/Kent/14416-SE-270th-Pl-98042/home/400777,https://ssl.cdn-redfin.com/photo/1/islphoto/996/genIslnoResize.2286996_3.jpg
1480.0,980000,662.1621621621622,98042,Kent,WA,29517 164th Ave SE,3,3,https://www.redfin.com/WA/Kent/29517-164th-Ave-SE-98042/home/382203,https://ssl.cdn-redfin.com/photo/1/islphoto/932/genIslnoResize.2285932_0.jpg
1799.0,500000,277.9321845469705,98030,Kent,WA,10700 SE 260th St Unit K103,3,3,https://www.redfin.com/WA/Kent/10700-SE-260th-St-98030/unit-K103/home/35060,https://ssl.cdn-redfin.com/photo/1/islphoto/774/genIslnoResize.2286774_0.jpg
2703.0,869950,321.84609692933776,98042,Kent,WA,14404 SE 284th Pl,5,5,https://www.redfin.com/WA/Unknown/14404-Se-284th-Pl-Unknown/home/185885515,https://ssl.cdn-redfin.com/photo/1/islphoto/998/genIslnoResize.2285998_1.jpg
1520.0,680000,447.36842105263156,98030,Kent,WA,11912 SE 261st Pl,3,3,https://www.redfin.com/WA/Kent/11912-SE-261st-Pl-98030/home/399191,https://ssl.cdn-redfin.com/photo/1/islphoto/621/genIslnoResize.2285621_0.jpg
1290.0,540000,418.6046511627907,98031,Kent,WA,22928 105th Ave SE,3,3,https://www.redfin.com/WA/Kent/22928-105th-Ave-SE-98031/home/221299,https://ssl.cdn-redfin.com/system_files/media/981431_JPG/genDesktopMapHomeCardUrl/item_1.jpg
2340.0,675000,288.46153846153845,98031,Kent,WA,20703 93rd Pl S 4,3,3,https://www.redfin.com/WA/Kent/20703-93rd-Pl-S-98031/unit-4/home/109878593,https://ssl.cdn-redfin.com/photo/1/islphoto/255/genIslnoResize.2282255_1.jpg
721.0,96000,133.14840499306518,98042,Kent,WA,15232 SE 272nd St 99,2,2,https://www.redfin.com/WA/Kent/15232-SE-272nd-St-98042/unit-99/home/178997206,https://ssl.cdn-redfin.com/photo/1/islphoto/749/genIslnoResize.2284749_0.jpg
