Square Feet,Price,Zip,City,State,Street Address,Bedrooms,Bathrooms,URL,Image,Price/Sqft,Price Category
2219.0,774990,98001,Auburn,WA,4532 S 328 th Ct 26,3.0,3.0,https://www.redfin.com/WA/Auburn/4532-S-328th-Ct-98001/unit-26/home/193518154,https://ssl.cdn-redfin.com/photo/1/islphoto/602/genIslnoResize.2310602_0.jpg,349.25191527715185,Medium-low
2050.0,574950,98001,Auburn,WA,220 NW Clay St NW,3.0,3.0,https://www.redfin.com/WA/Auburn/220-Clay-St-NW-98001/home/218412,https://ssl.cdn-redfin.com/photo/1/islphoto/669/genIslnoResize.2308669_0.jpg,280.4634146341463,Medium-low
2905.0,879000,98092,Auburn,WA,11622 SE 284th St,4.0,4.0,https://www.redfin.com/WA/Auburn/11622-SE-284th-St-98092/home/405629,https://ssl.cdn-redfin.com/photo/1/islphoto/380/genIslnoResize.2310380_0.jpg,302.5817555938038,Medium-High
1670.0,575000,98001,Auburn,WA,4338 S 347th St,3.0,3.0,https://www.redfin.com/WA/Auburn/4338-S-347th-St-98001/home/363841,https://ssl.cdn-redfin.com/photo/1/islphoto/518/genIslnoResize.2309518_0.jpg,344.311377245509,Medium-low
904.0,649000,98092,Auburn,WA,34010 146th Ave SE,2.0,2.0,https://www.redfin.com/WA/Auburn/34010-146th-Ave-SE-98092/home/2085196,https://ssl.cdn-redfin.com/photo/1/islphoto/183/genIslnoResize.2308183_0.jpg,717.9203539823009,Medium-low
1010.0,495000,98092,Auburn,WA,16122 SE 318th Pl,3.0,3.0,https://www.redfin.com/WA/Auburn/16122-SE-318th-Pl-98092/home/380167,https://ssl.cdn-redfin.com/photo/1/islphoto/466/genIslnoResize.2300466_0.jpg,490.0990099009901,Low
1440.0,129000,98002,Auburn,WA,1402 22nd St NE 235,2.0,2.0,https://www.redfin.com/WA/Auburn/1402-22nd-St-NE-98002/unit-235/home/21997136,https://ssl.cdn-redfin.com/photo/1/islphoto/322/genIslnoResize.2308322_0.jpg,89.58333333333333,Low
1170.0,175000,98002,Auburn,WA,607 37th St SE 78,3.0,3.0,https://www.redfin.com/WA/Auburn/607-37th-St-SE-98002/unit-78/home/193461998,https://ssl.cdn-redfin.com/photo/1/islphoto/401/genIslnoResize.2308401_0.jpg,149.57264957264957,Low
1032.0,130000,98002,Auburn,WA,2302 R Street Ct 69,2.0,2.0,https://www.redfin.com/WA/Auburn/2302-R-St-SE-98002/unit-69/home/105464021,https://ssl.cdn-redfin.com/photo/1/islphoto/164/genIslnoResize.2309164_0.jpg,125.96899224806202,Low
1066.0,360000,99809,Auburn,WA,4720 Mill Pond Dr SE 508,2.0,2.0,https://www.redfin.com/WA/Auburn/4720-Mill-Pond-Dr-SE-98092/unit-508/home/145238797,https://ssl.cdn-redfin.com/photo/1/islphoto/316/genIslnoResize.2309316_1.jpg,337.7110694183865,Low
