Square Feet,Price,Zip,City,State,Street Address,Bedrooms,Bathrooms,URL,Image
1828,597000,98092,Auburn,WA,6622 FRANCIS Ave SE,3,3,https://www.redfin.com/WA/Auburn/6622-Francis-Ave-SE-98092/home/17090898,https://ssl.cdn-redfin.com/photo/1/islphoto/013/genIslnoResize.2301013_0.jpg
2520,709000,98002,Auburn,WA,2400 E Main St,3,3,https://www.redfin.com/WA/Auburn/2400-E-Main-St-98002/home/218676,https://ssl.cdn-redfin.com/photo/1/islphoto/460/genIslnoResize.2300460_0.jpg
960,399950,98092,Auburn,WA,31826 118TH Pl SE,3,3,https://www.redfin.com/WA/Auburn/31826-118th-Pl-SE-98092/home/406784,https://ssl.cdn-redfin.com/photo/1/islphoto/351/genIslnoResize.2299351_1.jpg
1440,189000,98002,Auburn,WA,3611 I St NE 407,3,3,https://www.redfin.com/WA/Auburn/3611-I-St-NE-98002/unit-407/home/193045196,https://ssl.cdn-redfin.com/photo/1/islphoto/891/genIslnoResize.2300891_0.jpg
2370,915000,98092,Auburn,WA,33308 206th Pl SE,3,3,https://www.redfin.com/WA/Auburn/33308-206th-Pl-SE-98092/home/383331,https://ssl.cdn-redfin.com/photo/1/islphoto/763/genIslnoResize.2300763_0.jpg
1890,725000,98001,Auburn,WA,36004 50th Ave S,3,3,https://www.redfin.com/WA/Auburn/36004-50th-Ave-S-98001/home/365136,https://ssl.cdn-redfin.com/system_files/media/999421_JPG/genDesktopMapHomeCardUrl/item_1.jpg
1007,399500,98092,Auburn,WA,6405 Isaac Ave SE Unit H17,2,2,https://www.redfin.com/WA/Auburn/6405-Isaac-Ave-SE-98092/unit-H17/home/3038347,https://ssl.cdn-redfin.com/photo/1/islphoto/256/genIslnoResize.2299256_0.jpg
3100,850000,98092,Auburn,WA,22535 SE 331st St,3,3,https://www.redfin.com/WA/Auburn/22535-SE-331st-St-98092/home/378979,https://ssl.cdn-redfin.com/photo/1/islphoto/421/genIslnoResize.2300421_0.jpg
1660,637000,98001,Auburn,WA,29620 58th Pl S,3,3,https://www.redfin.com/WA/Auburn/29620-58th-Pl-S-98001/home/209996,https://ssl.cdn-redfin.com/photo/1/islphoto/466/genIslnoResize.2299466_0.jpg
3274,924888,98001,Auburn,WA,5658 S 328th Pl,4,4,https://www.redfin.com/WA/Auburn/5658-S-328th-Pl-98001/home/101611340,https://ssl.cdn-redfin.com/photo/1/islphoto/326/genIslnoResize.2265326_0.jpg
1668,698000,98001,Auburn,WA,4203 S 297th Pl,6,6,https://www.redfin.com/WA/Auburn/4203-S-297th-Pl-98001/home/211847,https://ssl.cdn-redfin.com/photo/1/islphoto/917/genIslnoResize.2298917_0.jpg
